DateTime,2013-07-01 14:00:00,2013-07-01 14:00,2013,7,1,14:00,22.8,Unnamed: 7,9.7,Unnamed: 9,43.0,Unnamed: 11,3.0,Unnamed: 13,24,Unnamed: 15,24.1,Unnamed: 17,99.66,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
2013-07-01 15:00:00,2013-07-01 15:00:00,2013-07-01 15:00,2013,7,1,15:00,23.1,,9.3,,41.0,,5.0,,22,,24.1,,99.67,,,,,,
2013-07-01 16:00:00,2013-07-01 16:00:00,2013-07-01 16:00,2013,7,1,16:00,23.1,,9.3,,41.0,,6.0,,18,,24.1,,99.64,,,,,,Cloudy
2013-07-01 17:00:00,2013-07-01 17:00:00,2013-07-01 17:00,2013,7,1,17:00,22.9,,9.5,,42.0,,5.0,,23,,24.1,,99.65,,,,,,
2013-07-01 18:00:00,2013-07-01 18:00:00,2013-07-01 18:00,2013,7,1,18:00,21.9,,9.6,,45.0,,7.0,,24,,24.1,,99.71,,,,,,
2013-07-01 19:00:00,2013-07-01 19:00:00,2013-07-01 19:00,2013,7,1,19:00,21.2,,9.9,,48.0,,6.0,,24,,24.1,,99.76,,,,,,Mostly Cloudy
2013-07-01 20:00:00,2013-07-01 20:00:00,2013-07-01 20:00,2013,7,1,20:00,20.5,,10.4,,52.0,,7.0,,17,,24.1,,99.82,,,,,,
2013-07-01 21:00:00,2013-07-01 21:00:00,2013-07-01 21:00,2013,7,1,21:00,20.0,,9.7,,51.0,,7.0,,17,,24.1,,99.87,,,,,,
2013-07-01 22:00:00,2013-07-01 22:00:00,2013-07-01 22:00,2013,7,1,22:00,19.4,,10.2,,55.0,,3.0,,17,,24.1,,99.84,,,,,,Mostly Cloudy
2013-07-01 23:00:00,2013-07-01 23:00:00,2013-07-01 23:00,2013,7,1,23:00,18.9,,10.3,,57.0,,4.0,,12,,24.1,,99.86,,,,,,
2013-07-02 00:00:00,2013-07-02 00:00:00,2013-07-02 00:00,2013,7,2,00:00,19.0,,9.6,,54.0,,7.0,,14,,24.1,,99.82,,,,,,
