DateTime,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2005-07-01 00:00:00,2005-07-01 00:00,2005,7,1,00:00,21.1,,18.3,,84.0,,21.0,,13.0,,15.0,,96.98,,27.0,,,,
2005-07-01 01:00:00,2005-07-01 01:00,2005,7,1,01:00,20.9,,18.3,,85.0,,22.0,,13.0,,15.0,,96.93,,27.0,,,,
2005-07-01 02:00:00,2005-07-01 02:00,2005,7,1,02:00,20.8,,18.6,,87.0,,20.0,,9.0,,15.0,,96.87,,27.0,,,,
2005-07-01 03:00:00,2005-07-01 03:00,2005,7,1,03:00,20.5,,18.9,,91.0,,19.0,,11.0,,15.0,,96.81,,27.0,,,,
2005-07-01 04:00:00,2005-07-01 04:00,2005,7,1,04:00,20.5,,19.3,,93.0,,22.0,,9.0,,11.3,,96.82,,28.0,,,,
2005-07-01 05:00:00,2005-07-01 05:00,2005,7,1,05:00,20.5,,19.1,,92.0,,22.0,,13.0,,11.3,,96.79,,27.0,,,,
2005-07-01 06:00:00,2005-07-01 06:00,2005,7,1,06:00,21.0,,18.9,,88.0,,23.0,,19.0,,11.3,,96.79,,28.0,,,,
2005-07-01 07:00:00,2005-07-01 07:00,2005,7,1,07:00,22.1,,18.9,,82.0,,23.0,,22.0,,11.3,,96.79,,29.0,,,,
2005-07-01 08:00:00,2005-07-01 08:00,2005,7,1,08:00,23.7,,18.5,,73.0,,24.0,,22.0,,15.0,,96.76,,30.0,,,,
2005-07-01 09:00:00,2005-07-01 09:00,2005,7,1,09:00,24.5,,18.1,,68.0,,25.0,,26.0,,15.0,,96.74,,31.0,,,,
2005-07-01 10:00:00,2005-07-01 10:00,2005,7,1,10:00,25.5,,15.1,,53.0,,24.0,,33.0,,15.0,,96.73,,30.0,,,,
2005-07-01 11:00:00,2005-07-01 11:00,2005,7,1,11:00,26.0,,15.6,,53.0,,26.0,,30.0,,15.0,,96.75,,30.0,,,,
2005-07-01 12:00:00,2005-07-01 12:00,2005,7,1,12:00,26.3,,9.9,,36.0,,28.0,,43.0,,15.0,,96.81,,28.0,,,,
2005-07-01 13:00:00,2005-07-01 13:00,2005,7,1,13:00,24.9,,13.7,,50.0,,28.0,,28.0,,15.0,,96.85,,28.0,,,,
2005-07-01 14:00:00,2005-07-01 14:00,2005,7,1,14:00,25.4,,12.8,,46.0,,28.0,,41.0,,15.0,,96.85,,28.0,,,,
2005-07-01 15:00:00,2005-07-01 15:00,2005,7,1,15:00,22.6,,8.4,,40.0,,29.0,,39.0,,15.0,,96.92,,,,,,
2005-07-01 16:00:00,2005-07-01 16:00,2005,7,1,16:00,21.5,,11.4,,53.0,,28.0,,35.0,,15.0,,96.96,,,,,,
2005-07-01 17:00:00,2005-07-01 17:00,2005,7,1,17:00,19.8,,13.6,,67.0,,30.0,,24.0,,15.0,,97.01,,,,,,
2005-07-01 18:00:00,2005-07-01 18:00,2005,7,1,18:00,18.1,,13.7,,75.0,,31.0,,26.0,,15.0,,97.06,,,,,,Rain
2005-07-01 19:00:00,2005-07-01 19:00,2005,7,1,19:00,15.9,,7.7,,58.0,,31.0,,19.0,,15.0,,97.16,,,,,,
2005-07-01 20:00:00,2005-07-01 20:00,2005,7,1,20:00,15.0,,10.8,,76.0,,32.0,,17.0,,15.0,,97.25,,,,,,
2005-07-01 21:00:00,2005-07-01 21:00,2005,7,1,21:00,14.2,,8.5,,69.0,,31.0,,22.0,,15.0,,97.34,,,,,,
